userId,movieId
30,13039
30,7153
30,2379
30,12081
30,2913
30,7900
30,9705
30,4992
30,13616
30,14154
30,13531
30,2898
30,8134
30,3144
30,2522
30,6139
30,12448
31,8488
32,10754
33,3337
33,9998
33,5310
33,10100
33,14141
33,13396
33,5080
33,14140
33,341
33,7994
33,9759
33,584
34,1786
34,3072
34,413
34,5528
34,532
35,13926
36,13926
37,14275
38,4615
38,3602
38,4969
38,10339
38,11195
38,1612
38,4957
38,14199
38,3087
38,10848
38,5679
38,11200
38,1729
38,5842
39,10088
40,8766
41,1578
41,1425
42,145
42,14277
42,37
42,9833
42,5403
42,5402
42,9701
42,14278
43,3954
43,4189
44,5213
44,11527
45,7644
45,604
46,14229
47,5547
47,6570
47,4884
47,10938
47,13277
47,8765
47,10882
47,10865
47,4849
47,13795
47,9045
47,2104
47,5006
48,8503
49,9401
49,10405
49,13596
49,10434
49,8179
49,13679
49,2232
49,13134
49,7946
49,9451
49,636
49,10132
49,6677
49,964
49,13565
49,4311
49,475
49,12059
49,5977
49,10935
49,5089
49,542
49,13076
49,11907
49,6608
49,7522
49,13170
49,8442
49,5623
49,10424
49,10077
50,501
51,4542
51,9621
52,13986
53,2864
53,10238
53,10122
53,8253
53,10797
53,10622
53,10619
53,9237
53,2416
53,11832
53,9764
53,7171
53,3335
53,2237
53,2303
53,10061
53,4611
53,3264
53,2440
53,2766
53,11233
53,10123
53,946
53,3064
54,4758
55,8602
56,9196
56,9180
57,11527
57,5213
57,7219
58,127
58,3430
58,1695
59,11522
59,11444
60,10034
60,13048
60,14256
60,1772
60,1571
60,10323
60,1426
61,8587
62,13920
62,4123
62,13974
62,4191
62,8693
62,3464
62,14015
62,8776
62,1579
62,8940
62,159
62,4936
62,153
62,3425
62,3579
62,8810
63,10958
64,386
65,3651
65,13019
65,4317
65,703
66,5552
67,13798
68,3733
69,10581
69,12068
69,7711
70,10727
70,6103
70,11302
71,10608
72,12816
72,7638
72,4624
72,6396
72,911
72,6940
72,2748
72,3251
72,7695
72,12362
72,3354
72,3255
72,6012
72,12355
72,3337
72,11392
72,4566
72,10731
72,11258
72,3339
72,11961
72,7521
72,2361
72,9909
72,382
72,13056
72,5931
72,10314
72,5825
72,7734
72,13133
73,3423
74,10286
75,6628
76,12093
76,10832
76,12334
76,12332
77,12761
77,5125
77,5244
77,9262
77,9457
77,9458
77,11542
77,2861
77,12674
78,12770
78,9466
78,13434
78,13130
78,2187
78,14108
78,9703
78,6846
78,9134
79,10593
80,216
81,9846
82,14001
83,14328
83,5452
84,11663
84,9718
84,3240
84,6385
84,10609
84,11940
84,12937
84,11299
84,13351
84,7392
84,6523
84,11564
84,10740
84,12587
84,13993
85,386
86,1166
87,9888
87,6526
87,10874
88,3379
88,1271
89,13916
89,5271
90,10232
91,6850
91,10971
92,11133
93,10406
94,1158
95,9115
95,10013
96,11455
96,13348
97,10805
98,1734
99,6624
100,3087
101,7558
101,1811
101,9792
101,9972
101,5121
101,6723
102,11347
103,3614
103,9217
104,3612
105,6331
106,11420
106,12990
106,43
107,13828
108,9834
108,12616
108,12455
108,1517
109,3787
109,12453
109,11988
109,10302
109,546
109,2549
109,12250
110,3751
111,1613
111,3490
111,9769
112,14330
113,9193
114,11144
115,5559
115,10118
115,10219
116,4762
117,6506
