userId,paperId
86,10626
86,3734
86,2317
86,21391
86,11925
86,3990
86,33817
86,24346
86,34589
86,2309
86,4130
86,20006
86,12401
86,4136
86,11996
86,1138
86,34480
86,34482
86,33459
86,8244
86,4278
86,1207
86,8505
86,5434
86,27068
86,27582
86,19907
86,2372
86,2934
86,13514
86,24333
86,4081
86,16724
86,3542
86,730
86,16719
86,2396
86,8669
86,31583
86,5601
86,30571
86,30205
86,21616
86,2161
86,23794
86,11891
86,24310
86,26665
86,17272
86,4308
86,10746
86,27132
86,3965
87,33120
87,34264
87,31882
87,34267
87,34030
88,34897
88,34787
88,34900
89,3143
89,904
89,5054
89,34251
89,31405
89,4017
89,3796
89,30984
89,311
89,31834
89,4315
89,1342
90,34076
90,33332
90,33414
91,35403
91,35525
91,34198
91,34122
91,35595
91,33122
91,32974
91,34191
91,33040
91,35091
91,34197
91,35414
91,30808
91,34137
91,30288
91,35234
91,35172
91,30310
91,31081
91,35178
91,31211
91,30832
91,32881
91,33012
91,35127
91,30328
91,32953
91,29946
91,33083
91,34237
92,32956
92,33326
92,32695
93,34038
93,16772
93,12982
93,12038
93,10312
93,26004
93,21516
93,32077
93,15502
93,13714
93,10835
93,13652
93,3093
93,9668
93,26586
93,4571
93,26908
93,26010
93,31198
93,22341
93,10465
93,20071
93,26922
93,12140
93,17390
93,5192
93,23349
93,10614
93,11896
93,31188
93,21691
93,21566
94,15712
94,13281
94,9890
94,30555
94,19172
94,32807
94,34122
94,29959
94,35074
94,34767
94,32367
94,32790
94,30199
94,32996
94,30367
94,30496
95,34578
95,34579
95,31613
95,33527
96,9472
96,26435
96,8389
96,18982
96,15633
96,13096
96,19900
96,15978
96,1895
96,19117
96,32317
96,33016
96,24725
96,33015
96,24536
96,3132
96,19933
96,31326
96,8341
97,29952
97,19554
97,32278
97,30822
97,9224
97,11571
97,31370
97,30061
97,33617
97,18978
97,16211
97,33653
97,24630
97,33783
97,920
97,16246
97,24570
97,23580
97,31582
97,23539
98,33922
98,33639
99,22466
99,31830
99,17373
99,30955
99,35362
99,9263
99,24627
99,34238
99,9686
99,24791
99,8698
99,30971
99,16218
99,30974
100,32679
101,32659
102,32242
102,8314
103,32290
104,33472
104,32945
104,33428
104,31615
105,31510
106,32868
107,34115
107,35502
107,35398
107,31687
107,31640
107,35564
107,35294
108,9954
108,5091
108,24707
108,15591
108,1039
108,26928
108,1713
108,31363
108,1462
108,31479
108,35227
108,32799
109,20225
109,17154
109,34307
109,21277
109,470
109,3465
109,2306
109,16781
109,11795
109,11566
109,815
109,33565
109,33200
109,1386
109,1435
109,21670
109,23464
109,24619
109,34733
109,15662
109,23343
109,32432
109,3337
109,441
109,8762
109,11579
109,4671
109,15584
109,9794
109,25923
109,33477
109,34145
109,4041
109,15690
109,12235
109,19916
109,23650
109,31569
109,31059
109,21461
109,854
109,15575
109,27352
109,16219
109,21728
109,8929
109,15842
109,2171
109,34160
109,4200
109,20714
109,8812
109,33645
109,30574
109,15599
109,23280
109,19954
109,5139
109,1782
109,34167
109,33656
109,8686
109,35322
109,22907
109,31084
109,21501
109,23550
109,23317
110,32997
110,33494
111,1697
111,32788
111,3382
111,35225
111,20748
111,23838
112,11651
112,9319
112,13304
112,31995
112,31613
112,10271
113,32833
113,31507
113,32257
113,35205
113,29942
113,19187
